configuracion,num_estaciones,num_ciclos,intensidad,modo,repeticion,tiempo_total,tiempo_promedio_ciclo,total_mediciones,mediciones_por_segundo,total_alertas,zona_mayor_riesgo
4est_10cic,4,10,2000,secuencial,1,0.746376,0.074638,240,321.55,4,Centro Historico
4est_10cic,4,10,2000,secuencial,2,0.576301,0.057630,240,416.45,4,Centro Historico
4est_10cic,4,10,2000,secuencial,3,0.584878,0.058488,240,410.34,4,Centro Historico
4est_10cic,4,10,2000,hilos,1,0.583591,0.058359,240,411.25,4,Centro Historico
4est_10cic,4,10,2000,hilos,2,0.581283,0.058128,240,412.88,4,Centro Historico
4est_10cic,4,10,2000,hilos,3,0.581870,0.058187,240,412.46,4,Centro Historico
4est_10cic,4,10,2000,procesos,1,0.591333,0.059133,240,405.86,4,Centro Historico
4est_10cic,4,10,2000,procesos,2,0.591094,0.059109,240,406.03,4,Centro Historico
4est_10cic,4,10,2000,procesos,3,0.591006,0.059101,240,406.09,4,Centro Historico
8est_20cic,8,20,2000,secuencial,1,2.565242,0.128262,960,374.23,22,El Vecino
8est_20cic,8,20,2000,secuencial,2,2.565971,0.128299,960,374.13,22,El Vecino
8est_20cic,8,20,2000,secuencial,3,2.521555,0.126078,960,380.72,22,El Vecino
8est_20cic,8,20,2000,hilos,1,2.555153,0.127758,960,375.71,22,El Vecino
8est_20cic,8,20,2000,hilos,2,2.547617,0.127381,960,376.82,22,El Vecino
8est_20cic,8,20,2000,hilos,3,2.558962,0.127948,960,375.15,22,El Vecino
8est_20cic,8,20,2000,procesos,1,2.573419,0.128671,960,373.04,22,El Vecino
8est_20cic,8,20,2000,procesos,2,2.581898,0.129095,960,371.82,22,El Vecino
8est_20cic,8,20,2000,procesos,3,2.600288,0.130014,960,369.19,22,El Vecino
12est_30cic,12,30,2000,secuencial,1,6.186652,0.206222,2160,349.14,46,El Vecino
12est_30cic,12,30,2000,secuencial,2,5.932132,0.197738,2160,364.12,46,El Vecino
12est_30cic,12,30,2000,secuencial,3,5.957833,0.198594,2160,362.55,46,El Vecino
12est_30cic,12,30,2000,hilos,1,6.045111,0.201504,2160,357.31,46,El Vecino
12est_30cic,12,30,2000,hilos,2,6.096309,0.203210,2160,354.31,46,El Vecino
12est_30cic,12,30,2000,hilos,3,6.022769,0.200759,2160,358.64,46,El Vecino
12est_30cic,12,30,2000,procesos,1,6.022243,0.200741,2160,358.67,46,El Vecino
12est_30cic,12,30,2000,procesos,2,6.009811,0.200327,2160,359.41,46,El Vecino
12est_30cic,12,30,2000,procesos,3,6.012687,0.200423,2160,359.24,46,El Vecino
