num_procesos,num_estaciones,num_ciclos,intensidad,total_mediciones,tiempo_secuencial,tiempo_paralelo,speedup,eficiencia,mediciones_por_segundo,total_alertas,zona_mayor_riesgo
1,12,30,4000,2160,16.162047,16.158246,1.0002,1.0002,133.68,46,El Vecino
2,12,30,4000,2160,16.350338,9.440487,1.7319,0.8660,228.80,46,El Vecino
4,12,30,4000,2160,16.761318,5.224590,3.2082,0.8020,413.43,46,El Vecino
2,12,30,4000,2160,12.818867,12.976739,0.9878,0.4939,166.45,46,El Vecino
2,12,30,4000,2160,6.587301,3.332948,1.9764,0.9882,648.07,46,El Vecino
2,24,100,10000,14400,129.614687,60.485240,2.1429,1.0715,238.07,291,Sayausi
1,24,100,10000,14400,129.697815,125.339065,1.0348,1.0348,114.89,291,Sayausi
36,72,100,10000,43200,,72.578235,,,595.22,897,San Blas
3,24,60,8000,8640,63.038316,25.753853,2.4477,0.8159,335.48,171,El Vecino
48,144,100,10000,86400,,84.691415,,,1020.17,1753,Yanuncay
12,144,100,10000,86400,,274.271987,,,315.02,1753,Yanuncay
12,144,100,10000,86400,,145.961390,,,591.94,1753,Yanuncay
24,144,100,10000,86400,,128.727961,,,671.18,1753,Yanuncay
36,144,100,10000,86400,,97.740181,,,883.98,1753,Yanuncay
36,144,100,10000,86400,,100.623968,,,858.64,1753,Yanuncay
48,144,100,10000,86400,,99.008767,,,872.65,1753,Yanuncay
1,144,100,10000,86400,1088.959716,809.720549,1.3449,1.3449,106.70,1753,Yanuncay
